"product_ID","price","sugar","caffeine","corn_syrup_price","caffeine_extract_price","quantity","t","market_share"
1,2.0213342101499,1.58085642619898,6.07445940641284,0.199022390139081,0.264899181020071,223,1,0.0223
2,1.98025063768259,3.03315067786562,5.26059783509216,0.199022390139081,0.264899181020071,39,1,0.0039
3,1.65555959695473,1.71887647332875,4.68572801982808,0.199022390139081,0.264899181020071,83,1,0.0083
4,1.56647040147884,2.63785775592546,4.25036990451692,0.199022390139081,0.264899181020071,16,1,0.0016
5,1.51762921843358,1.47621368650251,4.13780167031419,0.199022390139081,0.264899181020071,141,1,0.0141
6,1.9351269362665,1.01706087927634,7.04804030304848,0.199022390139081,0.264899181020071,92,1,0.0092
7,2.01591957153572,1.83851445312001,5.93992007761338,0.199022390139081,0.264899181020071,151,1,0.0151
8,2.39418931277162,2.46793126340432,7.00868711591535,0.199022390139081,0.264899181020071,322,1,0.0322
9,1.75108461807779,2.56961490136704,4.57862642759465,0.199022390139081,0.264899181020071,47,1,0.0047
10,1.8627019839638,2.835809383663,4.64916557685214,0.199022390139081,0.264899181020071,71,1,0.0071
11,1.31228501566684,1.10587889661757,3.97261940191324,0.199022390139081,0.264899181020071,69,1,0.0069
12,1.79450264130484,3.01562125937762,4.74948087327971,0.199022390139081,0.264899181020071,21,1,0.0021
13,1.75079384822451,1.64842783350306,5.47185946611694,0.199022390139081,0.264899181020071,44,1,0.0044
14,2.1342498520453,2.07908238128006,6.35893982099812,0.199022390139081,0.264899181020071,140,1,0.014
15,1.79107790647567,2.25311739874036,5.56416860268364,0.199022390139081,0.264899181020071,15,1,0.0015
16,1.67333378403054,1.5900024471919,5.45598009048122,0.199022390139081,0.264899181020071,25,1,0.0025
17,2.05742112881484,1.00057650251794,6.23095366302092,0.199022390139081,0.264899181020071,972,1,0.0972
18,1.76879875507595,1.76035370427418,6.14713684772712,0.199022390139081,0.264899181020071,12,1,0.0012
19,1.63530466546565,2.04208995216112,5.10659804092742,0.199022390139081,0.264899181020071,13,1,0.0013
20,1.52497311062808,1.55225669466835,4.21668334299138,0.199022390139081,0.264899181020071,105,1,0.0105
21,2.06852244691021,1.53936216724613,6.24119982707737,0.199022390139081,0.264899181020071,292,1,0.0292
22,1.87619281729557,2.16522475173266,5.13885841910351,0.199022390139081,0.264899181020071,97,1,0.0097
23,2.16727461960604,1.92916959553196,6.71063158823657,0.199022390139081,0.264899181020071,158,1,0.0158
24,1.68412426939918,2.21742388075135,4.56935902527701,0.199022390139081,0.264899181020071,51,1,0.0051
25,1.35011225511767,1.97313868699141,3.95577041907294,0.199022390139081,0.264899181020071,15,1,0.0015
26,1.9088493815249,2.54829361215387,5.53757952458053,0.199022390139081,0.264899181020071,27,1,0.0027
27,2.21097052101074,5.47723730261362,4.33041401284977,0.199022390139081,0.264899181020071,96,1,0.0096
28,2.27663222242821,4.4034418313686,5.63880561143831,0.199022390139081,0.264899181020071,36,1,0.0036
29,2.1027066701462,5.79220327029965,3.27601016550743,0.199022390139081,0.264899181020071,480,1,0.048
30,1.75325782751424,5.28963671017735,3.25756991965909,0.199022390139081,0.264899181020071,29,1,0.0029
31,2.54636137650139,5.73893860376212,5.68980417328299,0.199022390139081,0.264899181020071,96,1,0.0096
32,2.34456706056568,5.31896040109765,5.33096317717347,0.199022390139081,0.264899181020071,41,1,0.0041
33,2.80375224297692,6.076164353812,5.87106770894805,0.199022390139081,0.264899181020071,628,1,0.0628
34,1.61580847745867,4.71584227951175,2.98375441778656,0.199022390139081,0.264899181020071,35,1,0.0035
